Time - Domain Signal Samples
N = 100
fs = 501
t0 = 0
Signal label : y
Mathematical expression
y(t) = 1.00 exp( -(t - 0) / 1 ) 
Time and signal samples in.csv format
t, y(t)
-------
0, 1
0.00199601, 1
0.00399202, 1
0.00598802, 1
0.00798403, 1
0.00998004, 1
0.011976, 1
0.0139721, 1
0.0159681, 1
0.0179641, 1
0.0199601, 1
0.0219561, 1
0.0239521, 1
0.0259481, 1
0.0279441, 1
0.0299401, 1
0.0319361, 1
0.0339321, 1
0.0359281, 1
0.0379242, 1
0.0399202, 1
0.0419162, 1
0.0439122, 1
0.0459082, 1
0.0479042, 1
0.0499002, 1
0.0518962, 1
0.0538922, 1
0.0558882, 1
0.0578842, 1
0.0598802, 1
0.0618762, 1
0.0638723, 1
0.0658683, 1
0.0678643, 1
0.0698603, 1
0.0718563, 1
0.0738523, 1
0.0758483, 1
0.0778443, 1
0.0798403, 1
0.0818363, 1
0.0838323, 1
0.0858283, 1
0.0878244, 1
0.0898204, 1
0.0918164, 1
0.0938124, 1
0.0958084, 1
0.0978044, 1
0.0998004, 1
0.101796, 1
0.103792, 1
0.105788, 1
0.107784, 1
0.10978, 1
0.111776, 1
0.113772, 1
0.115768, 1
0.117764, 1
0.11976, 1
0.121756, 1
0.123752, 1
0.125749, 1
0.127745, 1
0.129741, 1
0.131737, 1
0.133733, 1
0.135729, 1
0.137725, 1
0.139721, 1
0.141717, 1
0.143713, 1
0.145709, 1
0.147705, 1
0.149701, 1
0.151697, 1
0.153693, 1
0.155689, 1
0.157685, 1
0.159681, 1
0.161677, 1
0.163673, 1
0.165669, 1
0.167665, 1
0.169661, 1
0.171657, 1
0.173653, 1
0.175649, 1
0.177645, 1
0.179641, 1
0.181637, 1
0.183633, 1
0.185629, 1
0.187625, 1
0.189621, 1
0.191617, 1
0.193613, 1
0.195609, 1
0.197605, 1
